# drone_mapper map file
x_min=0 x_max=200 y_min=0 y_max=200 z_min=0 z_max=100
# x y z value
0 0 0 1
0 0 5 1
0 0 10 1
0 0 15 1
0 0 20 1
0 0 25 1
0 0 30 1
0 0 35 1
0 0 40 1
0 0 45 1
0 0 50 1
0 0 55 1
0 0 60 1
0 0 65 1
0 0 70 1
0 0 75 1
0 0 80 1
0 0 85 1
0 0 90 1
0 0 95 1
0 0 100 1
0 5 0 1
0 5 5 1
0 5 10 1
0 5 15 1
0 5 20 1
0 5 25 1
0 5 30 1
0 5 35 1
0 5 40 1
0 5 45 1
0 5 50 1
0 5 55 1
0 5 60 1
0 5 65 1
0 5 70 1
0 5 75 1
0 5 80 1
0 5 85 1
0 5 90 1
0 5 95 1
0 5 100 1
0 10 0 1
0 10 5 1
0 10 10 1
0 10 15 1
0 10 20 1
0 10 25 1
0 10 30 1
0 10 35 1
0 10 40 1
0 10 45 1
0 10 50 1
0 10 55 1
0 10 60 1
0 10 65 1
0 10 70 1
0 10 75 1
0 10 80 1
0 10 85 1
0 10 90 1
0 10 95 1
0 10 100 1
0 15 0 1
0 15 5 1
0 15 10 1
0 15 15 1
0 15 20 1
0 15 25 1
0 15 30 1
0 15 35 1
0 15 40 1
0 15 45 1
0 15 50 1
0 15 55 1
0 15 60 1
0 15 65 1
0 15 70 1
0 15 75 1
0 15 80 1
0 15 85 1
0 15 90 1
0 15 95 1
0 15 100 1
0 20 0 1
0 20 5 1
0 20 10 1
0 20 15 1
0 20 20 1
0 20 25 1
0 20 30 1
0 20 35 1
0 20 40 1
0 20 45 1
0 20 50 1
0 20 55 1
0 20 60 1
0 20 65 1
0 20 70 1
0 20 75 1
0 20 80 1
0 20 85 1
0 20 90 1
0 20 95 1
0 20 100 1
0 25 0 1
0 25 5 1
0 25 10 1
0 25 15 1
0 25 20 1
0 25 25 1
0 25 30 1
0 25 35 1
0 25 40 1
0 25 45 1
0 25 50 1
0 25 55 1
0 25 60 1
0 25 65 1
0 25 70 1
0 25 75 1
0 25 80 1
0 25 85 1
0 25 90 1
0 25 95 1
0 25 100 1
0 30 0 1
0 30 5 1
0 30 10 1
0 30 15 1
0 30 20 1
0 30 25 1
0 30 30 1
0 30 35 1
0 30 40 1
0 30 45 1
0 30 50 1
0 30 55 1
0 30 60 1
0 30 65 1
0 30 70 1
0 30 75 1
0 30 80 1
0 30 85 1
0 30 90 1
0 30 95 1
0 30 100 1
0 35 0 1
0 35 5 1
0 35 10 1
0 35 15 1
0 35 20 1
0 35 25 1
0 35 30 1
0 35 35 1
0 35 40 1
0 35 45 1
0 35 50 1
0 35 55 1
0 35 60 1
0 35 65 1
0 35 70 1
0 35 75 1
0 35 80 1
0 35 85 1
0 35 90 1
0 35 95 1
0 35 100 1
0 40 0 1
0 40 5 1
0 40 10 1
0 40 15 1
0 40 20 1
0 40 25 1
0 40 30 1
0 40 35 1
0 40 40 1
0 40 45 1
0 40 50 1
0 40 55 1
0 40 60 1
0 40 65 1
0 40 70 1
0 40 75 1
0 40 80 1
0 40 85 1
0 40 90 1
0 40 95 1
0 40 100 1
0 45 0 1
0 45 5 1
0 45 10 1
0 45 15 1
0 45 20 1
0 45 25 1
0 45 30 1
0 45 35 1
0 45 40 1
0 45 45 1
0 45 50 1
0 45 55 1
0 45 60 1
0 45 65 1
0 45 70 1
0 45 75 1
0 45 80 1
0 45 85 1
0 45 90 1
0 45 95 1
0 45 100 1
0 50 0 1
0 50 5 1
0 50 10 1
0 50 15 1
0 50 20 1
0 50 25 1
0 50 30 1
0 50 35 1
0 50 40 1
0 50 45 1
0 50 50 1
0 50 55 1
0 50 60 1
0 50 65 1
0 50 70 1
0 50 75 1
0 50 80 1
0 50 85 1
0 50 90 1
0 50 95 1
0 50 100 1
0 55 0 1
0 55 5 1
0 55 10 1
0 55 15 1
0 55 20 1
0 55 25 1
0 55 30 1
0 55 35 1
0 55 40 1
